stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0.5,2.0,56.06416090000016,,56.048096100000066,56.06416090000016,56.54651639999997,56.54651639999997,56.56305859999998,56.84846860000016,57.0983897000001,left,-2.0,1,1,0.5375996000000214,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
56,0.5,1.5,57.11314630000015,,57.09852840000008,57.11314630000015,57.614708400000154,57.614708400000154,57.614708400000154,57.91324150000014,58.07024300000012,left,-1.5,1,1,0.44360469999992347,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
57,0.5,1.5,58.09611580000001,,58.0704624,58.09611580000001,58.58131460000004,58.58131460000004,58.598228500000005,58.881588299999976,59.10035740000012,left,-1.5,1,1,0.5120566999999028,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
58,0.5,1.5,59.11481630000003,,59.10057460000007,59.11481630000003,59.61359900000002,59.61359900000002,59.61359900000002,59.91335860000004,60.14853270000003,left,-1.5,0,0,0.5216482999999243,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
59,0.5,2.0,60.163356799999974,,60.14869840000006,60.163356799999974,60.66361559999996,60.66361559999996,60.66361559999996,60.964696799999956,61.235208100000136,left,-2.0,0,0,0.5679643999999371,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
60,0.5,2.5,61.26284080000005,,61.235411699999986,61.26284080000005,61.74599890000013,61.74599890000013,61.762692000000015,62.04602470000009,62.165344100000084,right,2.5,1,1,0.4025709999998526,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
61,0.5,2.5,62.18000740000002,,62.16550260000008,62.18000740000002,62.678933700000016,62.678933700000016,62.695457300000044,62.979160699999966,63.116138999999976,right,2.5,1,1,0.4315563000000111,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
62,0.5,2.5,63.13002430000006,,63.11633189999998,63.13002430000006,63.63048479999998,63.63048479999998,63.63048479999998,63.92997680000008,64.00002360000008,right,2.5,1,1,0.3619507999999314,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
63,0.5,2.0,64.01347559999999,,64.00018399999999,64.01347559999999,64.51675640000008,64.51675640000008,64.51675640000008,64.8300521000001,65.2638809,left,-2.0,1,1,0.7304680999998254,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
64,0.5,2.0,65.2793835,,65.26398770000014,65.2793835,65.78109270000004,65.78109270000004,65.78109270000004,66.09659710000005,66.2339657,right,2.0,1,1,0.4496212999999898,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
65,0.5,2.0,66.24759710000012,,66.23419690000014,66.24759710000012,66.74618850000002,66.74618850000002,66.76308040000004,67.04691960000014,67.14829699999996,right,2.0,0,0,0.3863752999998269,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
66,0.5,2.5,67.1628584,,67.14846090000015,67.1628584,67.66282500000011,67.66282500000011,67.66282500000011,67.96393920000014,68.51687690000017,left,-2.5,1,1,0.8461480999999367,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
67,0.5,2.5,68.53066409999997,,68.51709110000002,68.53066409999997,69.02922260000014,69.02922260000014,69.04582040000014,69.33186160000014,69.41665350000017,left,-2.5,0,0,0.37236029999985476,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
68,0.5,3.0,69.43080789999999,,69.41688510000017,69.43080789999999,69.93079069999999,69.93079069999999,69.93079069999999,70.23052529999995,70.40150089999997,left,-3.0,1,1,0.46746749999988424,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
69,0.5,3.0,70.42852040000002,,70.40174530000013,70.42852040000002,70.91269030000012,70.91269030000012,70.92923970000015,71.21392500000002,71.39934029999995,left,-3.0,1,1,0.4760808000000907,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
70,0.5,3.0,71.41537420000009,,71.39957560000016,71.41537420000009,71.913726,71.913726,71.9316189000001,72.2286775,72.36543819999997,right,3.0,1,1,0.44040689999997085,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
71,0.5,2.5,72.38002670000014,,72.36564380000004,72.38002670000014,72.88035260000015,72.88035260000015,72.88035260000015,73.19670250000013,73.30158559999995,right,2.5,1,1,0.4156757999999172,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
72,0.5,2.5,73.31383800000003,,73.30182000000013,73.31383800000003,73.81268799999998,73.81268799999998,73.81268799999998,74.11323390000007,74.27026960000012,left,-2.5,1,1,0.4504592999999204,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
73,0.5,2.5,74.29475690000004,,74.27050910000003,74.29475690000004,74.77903549999996,74.77903549999996,74.79741490000015,75.07921480000005,75.28095359999998,right,2.5,1,1,0.48489699999981895,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
74,0.5,2.0,75.29605390000006,,75.28111420000005,75.29605390000006,75.79618189999997,75.79618189999997,75.79618189999997,76.09578800000008,76.18181210000012,left,-2.0,0,0,0.38093419999995604,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
75,0.5,2.5,76.19595649999997,,76.18197740000005,76.19595649999997,76.695831,76.695831,76.695831,76.99626590000003,77.13176680000015,left,-2.5,1,1,0.4320795999999518,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
76,0.5,2.5,77.14572740000017,,77.1319284000001,77.14572740000017,77.64609150000001,77.64609150000001,77.64609150000001,77.94591960000002,78.2819273,right,2.5,1,1,0.6275754000000688,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
77,0.5,2.5,78.29843500000015,,78.28214780000008,78.29843500000015,78.79638539999996,78.79638539999996,78.81335790000003,79.09634200000005,79.26560289999998,right,2.5,1,1,0.4664875999999367,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
78,0.5,2.0,79.28108629999997,,79.26580850000005,79.28108629999997,79.77970049999999,79.77970049999999,79.79619470000011,80.07944970000017,80.26583920000007,right,2.0,1,1,0.4731620000000021,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
79,0.5,2.0,80.28035420000015,,80.26606590000006,80.28035420000015,80.77824170000008,80.77824170000008,80.79513470000006,81.07919300000003,81.23089340000001,left,-2.0,1,1,0.4481954999998834,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
80,0.5,2.0,81.24586270000009,,81.23106470000016,81.24586270000009,81.74509200000011,81.74509200000011,81.74509200000011,82.04541700000004,82.28241520000006,right,2.0,1,1,0.5233511999999791,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
81,0.5,1.5,82.29664079999998,,82.28262960000006,82.29664079999998,82.79606230000013,82.79606230000013,82.79606230000013,83.09627230000001,83.28152790000013,left,-1.5,1,1,0.4824459999999817,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
82,0.5,1.5,83.29465540000001,,83.2817113000001,83.29465540000001,83.79454650000002,83.79454650000002,83.79454650000002,84.09472720000008,84.31340870000008,right,1.5,1,1,0.5081366000001708,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
83,0.5,1.5,84.32814040000017,,84.31357990000015,84.32814040000017,84.82785450000006,84.82785450000006,84.82785450000006,85.12757940000006,85.29550820000009,left,-1.5,1,1,0.4578718000000208,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
